iter	Passed	Remaining
986	19005	250
987	19012	230
988	19018	211
989	19024	192
990	19031	172
991	19037	153
992	19044	134
993	19051	114
994	19057	95
995	19063	76
996	19070	57
997	19076	38
998	19082	19
999	19088	0
